Province,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sakon Nakhon,1021119,1048901,1057674,1067868,1077208,1090190,1094615,1097625,1101608,1107752,1118982,1101596,1104106,1109045,1113064,1116034,1118449,1122905,1123351,1129174,1134322,1138609,1142737,1145949,1149472,1152282,1153390,1146936,1146286
Samut Prakan,895384,914360,926110,948233,956264,969321,977388,995838,1011692,1027719,1045854,1049369,1077523,1107626,1126940,1147224,1164105,1185180,1203223,1223302,1241610,1261530,1279310,1293553,1310766,1326608,1344875,1351479,1356449
Samut Sakhon,373464,381316,390699,399072,407145,416393,421738,428814,435588,442914,448199,442660,452017,462510,469934,478146,484606,491887,499098,508812,519457,531887,545454,556719,568465,577964,584703,586199,586789
Samut Songkhram,205996,206268,206979,207535,207707,208408,205696,204995,204406,205135,204003,195302,195068,194990,194212,194054,193647,194057,194086,194042,194116,194189,194376,194069,193902,193791,193305,192052,190842
Saraburi,558073,565067,570683,577768,596437,602026,607042,607600,614267,621994,625580,596057,601937,609855,615756,621640,612707,617384,620454,625689,629216,633460,637673,640065,642040,645024,645911,643828,643963
Satun,236810,241130,244497,250477,253177,256800,260127,263515,267095,270802,273704,273592,277865,281545,284482,288409,293101,297163,301467,305879,309793,312673,315923,317612,319700,321574,323586,324098,324835
Sing Buri,221264,222027,222740,225003,225080,226091,224103,223677,223163,223352,222731,220142,217744,216969,215653,215551,215299,214661,213587,213216,212690,212158,211426,210588,210088,209377,208446,205898,204526
Si Sa Ket,1365233,1384958,1396035,1410002,1422527,1440947,1445356,1443766,1451435,1458969,1473773,1440449,1443974,1446482,1443011,1441412,1446345,1452471,1452203,1458370,1462028,1465213,1468798,1470341,1472031,1473011,1472859,1458580,1457556
Songkhla,1125905,1144349,1159672,1166519,1191233,1210921,1223833,1232600,1249402,1271067,1300282,1281514,1302422,1317500,1324915,1335768,1343954,1357023,1367010,1378574,1389890,1401303,1410577,1417440,1424230,1432628,1435968,1428609,1431536
Sukhothai,613143,617096,613317,616243,627090,630292,627585,625333,624064,625099,621688,611425,610361,608820,605301,603817,602813,601778,601504,602601,602713,602460,601712,600231,599319,597257,595072,587883,585352
Suphan Buri,842052,834646,840512,847867,853309,858750,855823,858201,859905,863304,871393,840329,842613,843904,842584,844498,844590,845850,845053,847308,848066,849053,849699,848567,852003,848720,846334,838628,835360
Surat Thani,802073,815444,831378,843111,861233,876407,886979,893534,907612,920283,935530,938160,947349,960698,970424,983486,994221,1000383,1012064,1023288,1031812,1040230,1046772,1050913,1057581,1063501,1068010,1067726,1072464
Surin,1316693,1330022,1345220,1359549,1367683,1382274,1381213,1383156,1392229,1399377,1414687,1371520,1374698,1375257,1372672,1375560,1377827,1381761,1380399,1386277,1388194,1391636,1395024,1395567,1397180,1397857,1396831,1378221,1376230
Tak,427609,440184,450153,461508,471596,479105,484678,490055,498890,507371,499734,515922,522197,527677,530928,538330,519662,525684,531018,526045,532353,539553,618382,631965,644267,654676,665620,670265,676583
Trang,544605,553216,560887,564660,576060,584154,587930,590851,596673,603072,608049,596242,602045,607450,610332,614869,618675,622659,626708,631920,636043,638746,640793,641684,643072,643116,643164,640574,639788
Trat,203156,205077,208627,210054,220000,221904,224056,223924,224341,225295,225026,217973,219135,219949,220543,221827,220008,220921,222013,222855,224010,224730,229435,229437,229649,229914,229958,228536,228376
Ubon Ratchathani,1660107,1679867,1696795,1717172,1731104,1754910,1759548,1767346,1779752,1792774,1817296,1763059,1774806,1783035,1785709,1795453,1803754,1813088,1816057,1826920,1836523,1844669,1857429,1862965,1869633,1874548,1878146,1866697,1868519
Udon Thani,1398991,1441971,1456154,1470888,1491560,1507882,1520651,1519857,1526600,1535471,1542074,1518491,1523802,1527562,1530686,1535629,1538940,1544786,1548107,1557298,1563964,1570300,1575152,1578783,1583092,1586666,1586646,1567983,1566510
Uthai Thani,319094,322670,324730,326997,328978,331295,332063,333126,333909,336176,340617,326181,326731,326988,326975,327586,327871,327959,328034,328950,329536,330179,330906,330299,329942,329433,328618,325868,325116
Uttaradit,474872,476938,476997,479642,481563,484737,485025,483902,484060,484984,481647,470024,469387,467482,465277,464205,462951,462618,461040,461294,460995,460400,459768,458197,457092,455403,453103,448745,446148
Yala,380787,390877,399364,402558,418790,429501,436092,442300,451190,459659,465447,459892,464121,468252,470691,475527,480334,487380,493767,500814,506138,511911,518139,522279,527295,532326,536330,538602,542314
Yasothon,525414,537770,543283,546966,549466,553794,554964,553982,552714,553865,552952,541363,541263,540888,539542,539284,539134,539257,538853,540267,540383,540211,540182,539815,539542,538729,537299,534500,533394
